link_text,href,link_type,section_title
¶,#beautiful-soup-documentation,internal_anchor,Beautiful Soup Documentation ¶
Beautiful Soup,http://www.crummy.com/software/BeautifulSoup/,external_link,Beautiful Soup Documentation ¶
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,external_link,Beautiful Soup Documentation ¶
Porting code to BS4,#porting-code-to-bs4,internal_anchor,Beautiful Soup Documentation ¶
这篇文档当然还有中文版.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,external_link,Beautiful Soup Documentation ¶
外部リンク,http://kondou.com/BS4/,external_link,Beautiful Soup Documentation ¶
이 문서는 한국어 번역도 가능합니다.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,external_link,Beautiful Soup Documentation ¶
Este documento também está disponível em Português do Brasil.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,external_link,Beautiful Soup Documentation ¶
Este documento también está disponible en una traducción al español.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/,external_link,Beautiful Soup Documentation ¶
Эта документация доступна на русском языке.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,external_link,Beautiful Soup Documentation ¶
¶,#getting-help,internal_anchor,Getting help ¶
send mail to the discussion group,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,external_link,Getting help ¶
what the diagnose() function says,#diagnose,internal_anchor,Getting help ¶
¶,#api-documentation,internal_anchor,API documentation ¶
traditional API documentation,api/modules.html,documentation_link,API documentation ¶
¶,#quick-start,internal_anchor,Quick Start ¶
¶,#installing-beautiful-soup,internal_anchor,Installing Beautiful Soup ¶
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,external_link,Installing Beautiful Soup ¶
download the Beautiful Soup 4 source tarball,http://www.crummy.com/software/BeautifulSoup/download/4.x/,external_link,Installing Beautiful Soup ¶
¶,#installing-a-parser,internal_anchor,Installing a parser ¶
lxml parser,http://lxml.de/,external_link,Installing a parser ¶
html5lib parser,http://code.google.com/p/html5lib/,external_link,Installing a parser ¶
"Differences
between parsers",#differences-between-parsers,internal_anchor,Installing a parser ¶
¶,#making-the-soup,internal_anchor,Making the soup ¶
Parsing XML,#id15,internal_anchor,Making the soup ¶
¶,#kinds-of-objects,internal_anchor,Kinds of objects ¶
Tag,#Tag,internal_anchor,Kinds of objects ¶
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶
Comment,#Comment,internal_anchor,Kinds of objects ¶
¶,#Tag,internal_anchor,Kinds of objects ¶
Tag,#Tag,internal_anchor,Kinds of objects ¶
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects ¶
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects ¶
¶,#Tag.name,internal_anchor,Kinds of objects ¶
¶,#Tag.attrs,internal_anchor,Kinds of objects ¶
¶,#multi-valued-attributes,internal_anchor,Multi-valued attributes ¶
¶,#NavigableString,internal_anchor,Kinds of objects ¶
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶
"Navigating
the tree",#navigating-the-tree,internal_anchor,Kinds of objects ¶
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects ¶
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶
replace_with(),#replace-with,internal_anchor,Kinds of objects ¶
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects ¶
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects ¶
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶
Tag,#Tag,internal_anchor,Kinds of objects ¶
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects ¶
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects ¶
Modifying the tree,#modifying-the-tree,internal_anchor,Kinds of objects ¶
Tag,#Tag,internal_anchor,Kinds of objects ¶
Tag,#Tag,internal_anchor,Kinds of objects ¶
¶,#special-strings,internal_anchor,Special strings ¶
Tag,#Tag,internal_anchor,Special strings ¶
NavigableString,#NavigableString,internal_anchor,Special strings ¶
Comment,#Comment,internal_anchor,Special strings ¶
¶,#Comment,internal_anchor,Special strings ¶
Comment,#Comment,internal_anchor,Special strings ¶
NavigableString,#NavigableString,internal_anchor,Special strings ¶
Comment,#Comment,internal_anchor,Special strings ¶
¶,#for-html-documents,internal_anchor,For HTML documents ¶
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶
¶,#Stylesheet,internal_anchor,For HTML documents ¶
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶
¶,#Script,internal_anchor,For HTML documents ¶
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶
¶,#Template,internal_anchor,For HTML documents ¶
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶
¶,#for-xml-documents,internal_anchor,For XML documents ¶
NavigableString,#NavigableString,internal_anchor,For XML documents ¶
Comment,#Comment,internal_anchor,For XML documents ¶
NavigableString,#NavigableString,internal_anchor,For XML documents ¶
¶,#Declaration,internal_anchor,For XML documents ¶
NavigableString,#NavigableString,internal_anchor,For XML documents ¶
declaration,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd,external_link,For XML documents ¶
¶,#Doctype,internal_anchor,For XML documents ¶
NavigableString,#NavigableString,internal_anchor,For XML documents ¶
"document type
declaration",https://www.w3.org/TR/REC-xml/#dt-doctype,external_link,For XML documents ¶
¶,#CData,internal_anchor,For XML documents ¶
NavigableString,#NavigableString,internal_anchor,For XML documents ¶
CData section,https://www.w3.org/TR/REC-xml/#sec-cdata-sect,external_link,For XML documents ¶
¶,#ProcessingInstruction,internal_anchor,For XML documents ¶
NavigableString,#NavigableString,internal_anchor,For XML documents ¶
XML processing instruction,https://www.w3.org/TR/REC-xml/#sec-pi,external_link,For XML documents ¶
¶,#navigating-the-tree,internal_anchor,Navigating the tree ¶
¶,#going-down,internal_anchor,Going down ¶
¶,#navigating-using-tag-names,internal_anchor,Navigating using tag names ¶
Searching the tree,#searching-the-tree,internal_anchor,Navigating using tag names ¶
¶,#contents-and-children,internal_anchor,.contents and .children ¶
Modifying the tree,#modifying-the-tree,internal_anchor,.contents and .children ¶
¶,#descendants,internal_anchor,.descendants ¶
¶,#string,internal_anchor,.string ¶
NavigableString,#NavigableString,internal_anchor,.string ¶
